出資元・企業ID,出資元・企業名,company_id,company_name,corporate_number,corporate_name,location,status,number_of_activity,update_date,LocName,lon,lat,iConf,iLvl,count
23064.0,バルカー,23064.0,バルカー,5010701020092,株式会社バルカー,東京都品川区大崎２丁目１番１号,-,667,2018-10-04T00:00:00+09:00,東京都/品川区/大崎/２丁目/１番/１号,139.72686179288542,35.61916522580371,5.0,8.0,1
24718.0,AJキャピタル,24718.0,AJキャピタル,7010001191434,ＡＪキャピタル株式会社,東京都千代田区九段北３丁目２番４号,-,1,2020-09-28T00:00:00+09:00,東京都/千代田区/九段北/３丁目/２番/４号,139.7413775925389,35.692927325726245,5.0,8.0,1
23642.0,ワイヤードパッケージ,23642.0,ワイヤードパッケージ,1010001158513,株式会社ワイヤードパッケージ,東京都中央区銀座７丁目２−２２銀座同和ビル４階,-,0,2019-11-13T00:00:00+09:00,東京都/中央区/銀座/７丁目/２番/２２号,139.76039686149085,35.671090291137475,5.0,8.0,1
22961.0,エルステッドインターナショナル,22961.0,エルステッドインターナショナル,1020001082142,エルステッドインターナショナル株式会社,神奈川県川崎市中原区下沼部１８１０番地１ー１７０３号,-,0,2019-09-10T00:00:00+09:00,神奈川県/川崎市/中原区/下沼部/１８１０−１番地,139.6633090456324,35.57256875881434,4.0,8.0,1
20966.0,クオンタムリープ・キャピタル・パートナーズ,20966.0,クオンタムリープ・キャピタル・パートナーズ,6010401142293,クオンタムリープ・キャピタル・パートナーズ株式会社,東京都港区赤坂９丁目５番１２号,-,1,2018-12-05T00:00:00+09:00,東京都/港区/赤坂/９丁目/５番/１２号,139.7295096349781,35.66721989708589,5.0,8.0,1
21008.0,BREW,21008.0,BREW,4011001109783,株式会社ＡｐｐＢｒｅｗ,東京都文京区本郷１丁目１１−６東接本郷ビル４階,-,77,2022-07-20T00:00:00+09:00,東京都/文京区/本郷/１丁目/１１番/６号,139.75669583262166,35.70435645220262,5.0,8.0,1
3856.0,楽天グループ,3856.0,楽天グループ,9010701020592,楽天グループ株式会社,東京都世田谷区玉川１丁目１４番１号,-,101,2021-10-20T00:00:00+09:00,東京都/世田谷区/玉川/１丁目/１４番/１号,139.62901039828895,35.611383481696606,5.0,8.0,1
17216.0,東和銀行,17216.0,東和銀行,2070001003514,株式会社東和銀行,群馬県前橋市本町２丁目１２番６号,-,119,2018-05-28T00:00:00+09:00,群馬県/前橋市/本町/２丁目/１２番/６号,139.0716064883865,36.38974050064456,5.0,8.0,1
23624.0,観光産業化投資基盤,23624.0,観光産業化投資基盤,1010001198113,株式会社観光産業化投資基盤,東京都千代田区大手町１丁目６番１号,-,1,2019-06-28T00:00:00+09:00,東京都/千代田区/大手町/１丁目/６番/１号,139.76499585419276,35.686398694063364,5.0,8.0,1
3618.0,デジタル・アドバタイジング・コンソーシアム,3618.0,デジタル・アドバタイジング・コンソーシアム,1011001028193,デジタル・アドバタイジング・コンソーシアム株式会社,東京都渋谷区恵比寿４丁目２０番３号,-,157,2019-05-08T00:00:00+09:00,東京都/渋谷区/恵比寿/４丁目/２０番/３号,139.71270202825247,35.64315215131268,5.0,8.0,1
18726.0,epiST Ventures,18726.0,epiST Ventures,2011101087535,ｅｐｉＳＴ　Ｖｅｎｔｕｒｅｓ株式会社,東京都新宿区新宿４丁目３番１７号,-,0,2019-05-13T00:00:00+09:00,東京都/新宿区/新宿/４丁目/３番/１７号,139.7038809452326,35.688626802874886,5.0,8.0,1
25872.0,エンジェル・トーチ,25872.0,エンジェル・トーチ,4010001179201,株式会社エンジェル・トーチ,東京都千代田区内幸町２丁目２番３号,-,0,2020-12-08T00:00:00+09:00,東京都/千代田区/内幸町/２丁目/２番/３号,139.75431740767104,35.670320214443954,5.0,8.0,1
25873.0,小川グループ,25873.0,小川グループ,3120001004919,小川グループ株式会社,大阪府大阪市阿倍野区阪南町２丁目２番４号,-,4,2018-06-05T00:00:00+09:00,大阪府/大阪市/阿倍野区/阪南町/２丁目/２番/４号,135.51522126817503,34.632671355478294,5.0,8.0,1
19512.0,鹿島建設,19512.0,鹿島建設,8010401006744,鹿島建設株式会社,東京都港区元赤坂１丁目３番１号,-,4187,2018-06-04T00:00:00+09:00,東京都/港区/元赤坂/１丁目/３番/１号,139.73432880824961,35.67759885974097,5.0,8.0,1
19487.0,J&TC Frontier,19487.0,J&TC Frontier,1010001008668,ＪＦＥスチール株式会社,東京都千代田区内幸町２丁目２番３号,-,23958,2018-04-10T00:00:00+09:00,東京都/千代田区/内幸町/２丁目/２番/３号,139.75431740767104,35.670320214443954,5.0,8.0,1
7830.0,今治造船,7830.0,今治造船,7500001011179,今治造船株式会社,愛媛県今治市小浦町１丁目４番５２号,-,45,2018-07-23T00:00:00+09:00,愛媛県/今治市/小浦町/１丁目/４番/５２号,132.97336265575626,34.109914599761524,5.0,8.0,1
21651.0,三弘,21651.0,三弘,6010001044171,株式会社三弘社,東京都中央区銀座１丁目５番１３号,-,3,2018-06-20T00:00:00+09:00,東京都/中央区/銀座/１丁目/５番/１３号,139.7669661560618,35.67478005288897,5.0,8.0,1
5921.0,ABCドリームベンチャーズ,5921.0,ABCドリームベンチャーズ,4120001192069,ＡＢＣドリームベンチャーズ株式会社,大阪府大阪市福島区福島１丁目１番３０号,-,2,2019-06-07T00:00:00+09:00,大阪府/大阪市/福島区/福島/１丁目/１番,135.48937144253367,34.69417377354086,5.0,7.0,1
6669.0,K4 Ventures,6669.0,K4 Ventures,6120001062492,合同会社Ｋ４Ｖｅｎｔｕｒｅｓ,大阪府大阪市北区中之島３丁目６番１６号,-,0,2018-11-07T00:00:00+09:00,大阪府/大阪市/北区/中之島/３丁目/６番/１６号,135.4920112676448,34.69251402332626,5.0,8.0,1
6668.0,関西電力,6668.0,関西電力,3120001059632,関西電力株式会社,大阪府大阪市北区中之島３丁目６番１６号,-,1338,2018-10-26T00:00:00+09:00,大阪府/大阪市/北区/中之島/３丁目/６番/１６号,135.4920112676448,34.69251402332626,5.0,8.0,1
15469.0,インターウォーズ,15469.0,インターウォーズ,5010001084739,インターウォーズ株式会社,東京都中央区銀座６丁目１３番１６号銀座ウォールビル,-,0,2018-05-25T00:00:00+09:00,東京都/中央区/銀座/６丁目/１３番/１６号,139.76486656705413,35.669000646010254,5.0,8.0,1
6073.0,REVICキャピタル,6073.0,REVICキャピタル,1010001154405,ＲＥＶＩＣキャピタル株式会社,東京都千代田区大手町１丁目６番１号,-,1,2018-04-17T00:00:00+09:00,東京都/千代田区/大手町/１丁目/６番/１号,139.76499585419276,35.686398694063364,5.0,8.0,1
3736.0,ポート,3736.0,ポート,1010001192025,株式会社ＰａｃＰｏｒｔ,東京都千代田区大手町２丁目７番１号ＴＯＫＩＷＡＢＲＩＤＧＥ１３Ｆ,-,14,2022-02-16T00:00:00+09:00,東京都/千代田区/大手町/２丁目/７番/１号,139.7695454714803,35.68632882415766,5.0,8.0,1
23622.0,アイホン,23622.0,アイホン,9180001021408,アイホン株式会社,愛知県名古屋市中区新栄町１丁目１番明治安田生命名古屋ビル,-,856,2018-07-11T00:00:00+09:00,愛知県/名古屋市/中区/新栄町/１丁目/１番地,136.90952079003503,35.16924373598476,5.0,8.0,1
